TASK_NAME,INDEX,ERROR_STATUS,SUCCESS RATE(%),UNMATCHED_LINES
plan,10,No Error & Warning,0.0000,"['/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/Window/LivingRoom/1 is turned off.', '/Actuator/Window/LivingRoom/2 is turned off.', '/Actuator/Window/Bedroom/1 is turned off.', '/Actuator/Window/Kitchen/1 is turned off.', '/Actuator/Window/Bathroom/1 is turned off.', '/Actuator/SmartTV/LivingRoom/1']"
plan,1,No Error & Warning,0.0000,"['/Actuator/Light/LivingRoom/1 is turned on. || /Actuator/Light/LivingRoom/2 is turned on. || /Actuator/Light/Bedroom/1 is turned on. || /Actuator/Light/Bedroom/2 is turned on.', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/MusicPlayer/LivingRoom/1 || /Actuator/MusicPlayer/Bedroom/1', '/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', 'Lock the door /Actuator/Door/LivingRoom/1.', '/Actuator/SmartTV/LivingRoom/1 is turned on.', '/Actuator/Curtain/LivingRoom/1', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']"
plan,6,Invalid Prompt,0.0000,[]
plan,17,No Error & Warning,1.0000,[]
plan,16,Error,0.0000,
plan,7,No Error & Warning,0.5500,"['/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.']"
plan,11,No Error & Warning,0.0000,"['/Actuator/Light/LivingRoom/1 is turned on. || /Actuator/Light/LivingRoom/2 is turned on. || /Actuator/Light/Bedroom/1 is turned on. || /Actuator/Light/Bedroom/2 is turned on. || /Actuator/Light/Kitchen/1 is turned on. || /Actuator/Light/Bathroom/1 is turned on.', '/Actuator/Curtain/LivingRoom/1 is turned on. || /Actuator/Curtain/Bedroom/1 is turned on.', '/Actuator/SmartTV/LivingRoom/1 is turned on.']"
plan,9,Error,0.0000,[]
plan,18,Error,0.0000,
plan,20,Error,0.0000,
energy_control,20,Error,0.0000,
energy_control,18,No Error & Warning,1.0000,[]
energy_control,11,Error,0.0000,[]
energy_control,16,Invalid Prompt,0.0000,[]
energy_control,1,Error,0.0000,[]
energy_control,6,No Error & Warning,0.5000,[]
energy_control,8,No Error & Warning,1.0000,[]
energy_control,17,Error,0.0000,[]
energy_control,10,No Error & Warning,1.0000,[]
energy_control,19,Invalid Prompt,0.0000,[]
energy_control,26,Error,0.0000,[]
energy_control,21,No Error & Warning,1.0000,[]
energy_control,9,No Error & Warning,1.0000,[]
energy_control,7,Error,0.0000,[]
energy_control,5,Invalid Prompt,0.0000,[]
energy_control,2,Error,0.0000,
energy_control,24,No Error & Warning,1.0000,[]
energy_control,23,No Error & Warning,1.0000,[]
energy_control,15,Invalid Prompt,0.0000,[]
energy_control,12,Error,0.0000,[]
energy_control,3,No Error & Warning,0.0000,"['/Actuator/Window/Bedroom/1 is turned on. || /Actuator/Window/Bedroom/2 is turned on. || /Actuator/Window/LivingRoom/1 is turned on. || /Actuator/Window/LivingRoom/2 is turned on.', '/Actuator/AC/Bedroom/1 || /Actuator/AC/LivingRoom/1']"
energy_control,4,Error,0.0000,[]
energy_control,13,No Error & Warning,1.0000,[]
energy_control,14,Invalid Prompt,0.0000,[]
energy_control,22,Error,0.0000,[]
energy_control,25,Error,0.0000,[]
